position,word_response,assigned_source_card_id,assigned_task_class,source_material,source_reference,current_match,swapped_source_card_id,swapped_task_class,swapped_source_material,swapped_source_reference,swapped_match
64,Bale is the feeding structure that retains small prey while allowing water to pass through.,SRC-ANA-014,analogy,Net external force zero -> supports -> momentum conservation; Isolated system -> supports -> constant total momentum.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,NO_MATCH,SRC-DEF-014,definition,Concept: baleen; Broader category: feeding structure; Key property/function: retains small prey while water passes.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
65,Feather camouflage is the animal adaptation that blends the animal with the surrounding environment.,SRC-ANA-015,analogy,Whale baleen -> supports -> prey retention; Filter surface -> supports -> particle separation.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH,SRC-DEF-015,definition,Concept: feather camouflage; Broader category: animal adaptation; Key property/function: blends an animal with its surroundings.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
66,Satellite precipitation sensor is a remote sensing instrument that measures precipitation information from orbit.,SRC-ANA-016,analogy,Aquifer -> contains -> groundwater; Cloud -> contains -> condensed water droplets.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,NO_MATCH,SRC-DEF-016,definition,Concept: satellite precipitation sensor; Broader category: remote-observation instrument; Key property/function: measures rainfall-related information from orbit.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH
67,Well pump is a water transportation device that lifts groundwater to the surface.,SRC-ANA-017,analogy,Chloroplast -> contains -> photosynthetic machinery; Leaf -> contains -> mesophyll cells.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,NO_MATCH,SRC-DEF-017,definition,Concept: well pump; Broader category: water-moving device; Key property/function: lifts groundwater to the surface.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
68,Tide gauge is an environmental measurement instrument that records changes in water level.,SRC-ANA-018,analogy,Ocean -> contains -> tidal bulges; Atmosphere -> contains -> water vapor.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,NO_MATCH,SRC-DEF-018,definition,Concept: tide gauge; Broader category: environmental measuring instrument; Key property/function: records changes in water level.,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,STRONG_MATCH
69,Chlorophyll sensor is a light-sensitive measuring tool that detects or studies light absorption.,SRC-ANA-019,analogy,Bone marrow -> produces -> immune blood-cell precursors; Lymphatic vessels -> carry -> immune cells.,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,NO_MATCH,SRC-DEF-019,definition,Concept: chlorophyll sensor; Broader category: light-sensitive measurement tool; Key property/function: detects or studies light absorption.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
70,Filter surface is a separation mechanism that allows water to pass through and retains particles.,SRC-ANA-020,analogy,Groundwater pore space -> stores -> water; Reservoir -> stores -> collected surface water.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,NO_MATCH,SRC-DEF-020,definition,Concept: filtration surface; Broader category: separation mechanism; Key property/function: lets water pass while retaining particles.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
71,Adaptability is the biological characteristic that helps organisms survive in their environment.,SRC-ANA-021,analogy,Evaporation -> moves water to atmosphere; Transpiration -> moves plant water to atmosphere.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,NO_MATCH,SRC-DEF-021,definition,Concept: adaptation; Broader category: biological feature; Key property/function: helps an organism survive in an environment.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
72,Immune system is the body defense system that detects and helps remove harmful substances.,SRC-ANA-022,analogy,Force -> changes motion; Heat -> changes water state.,https://openstax.org/books/physics/pages/4-1-force,NO_MATCH,SRC-DEF-022,definition,Concept: immune system; Broader category: body defense system; Key property/function: detects and helps eliminate harmful agents.,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,STRONG_MATCH
73,Aquifer is the water-bearing geological layer that stores and transmits available groundwater.,SRC-ANA-023,analogy,Adaptation -> improves survival; Tool design -> improves task performance.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH,SRC-DEF-023,definition,Concept: aquifer; Broader category: water-bearing geologic formation; Key property/function: stores and transmits usable groundwater.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
74,Precipitation is the water cycle transmission of water falling from the atmosphere to the surface.,SRC-ANA-024,analogy,Momentum conservation -> constrains collision outcomes; Energy conservation -> constrains transformation outcomes.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,NO_MATCH,SRC-DEF-024,definition,Concept: precipitation; Broader category: water-cycle transfer; Key property/function: water falls from atmosphere to Earth’s surface.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH
75,Chloroplast is the cellular organelle of plants that contains the photosynthesis mechanism.,SRC-ANA-025,analogy,Immune barrier -> blocks harmful agents; Physical barrier -> blocks unwanted entry.,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,NO_MATCH,SRC-DEF-025,definition,Concept: chloroplast; Broader category: plant-cell organelle; Key property/function: contains the machinery for photosynthesis.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
76,"The fin-like limbs of whales can help them turn in water, just as human arms can assist in controlling body movements.",SRC-DEF-001,definition,Concept: water cycle; Broader category: Earth-system process; Key property/function: continual movement of water among land ocean and atmosphere.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,NO_MATCH,SRC-ANA-001,analogy,Whale flippers -> steer through water; Human arms -> steer body movement.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
77,"The well pump can lift groundwater, while the irrigation pump delivers water to plants; both are transporting water.",SRC-DEF-002,definition,Concept: evaporation; Broader category: phase change; Key property/function: liquid water becomes vapor.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,NO_MATCH,SRC-ANA-002,analogy,Well pump -> lifts groundwater; Irrigation pump -> moves water for plants.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
78,"Satellite sensors can observe rainfall from the sky, and the tide gauge records water levels at the shore; both are monitoring water.",SRC-DEF-003,definition,Concept: photosynthesis; Broader category: biological energy process; Key property/function: light energy helps build carbohydrates.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,NO_MATCH,SRC-ANA-003,analogy,Satellite sensor -> observes precipitation; Tide gauge -> records water level.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH
79,"Chlorophyll absorbs light energy for photosynthesis, while solar panels receive sunlight to generate electricity; the principles are similar.",SRC-DEF-004,definition,Concept: tidal force; Broader category: gravitational effect; Key property/function: differential lunar or solar gravity affects ocean water.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,NO_MATCH,SRC-ANA-004,analogy,Chlorophyll -> absorbs light; Solar panel -> absorbs sunlight for energy conversion.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
80,"Microscopes make tiny structures clearer, while telescopes bring distant objects closer; both expand vision.",SRC-DEF-005,definition,Concept: groundwater; Broader category: subsurface water resource; Key property/function: water fills pores or cracks below ground.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,NO_MATCH,SRC-ANA-005,analogy,Microscope -> magnifies small structures; Telescope -> magnifies distant objects.,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,STRONG_MATCH
81,"Chloroplasts are part of plant cells, and leaves are part of the plant as a whole; both belong to the composition of plants.",SRC-DEF-006,definition,Concept: momentum; Broader category: physical quantity; Key property/function: mass multiplied by velocity.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,NO_MATCH,SRC-ANA-006,analogy,Chloroplast -> part of -> a photosynthetic plant cell; Leaf -> part of -> a plant.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
82,"Water droplets gather to form clouds, and clouds participate in the water cycle; one layer contains another.",SRC-DEF-007,definition,Concept: velocity; Broader category: motion quantity; Key property/function: describes speed with direction.,https://openstax.org/books/physics/pages/4-1-force,NO_MATCH,SRC-ANA-007,analogy,Water droplet -> part of -> a cloud; Cloud -> part of -> the water cycle.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH
83,"The water level belongs to the aquifer system, and the aquifer belongs to the groundwater storage system.",SRC-DEF-008,definition,Concept: conservation; Broader category: physical principle; Key property/function: a quantity remains constant under specified conditions.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,NO_MATCH,SRC-ANA-008,analogy,Water table -> part of -> an aquifer system; Aquifer -> part of -> groundwater storage.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
84,"Tidal bulges are manifestations of the tidal phenomenon, and the ocean is part of the Earth system.",SRC-DEF-009,definition,Concept: force; Broader category: physical interaction; Key property/function: push or pull that can change motion.,https://openstax.org/books/physics/pages/4-1-force,NO_MATCH,SRC-ANA-009,analogy,Tidal bulge -> part of -> a tide pattern; Ocean -> part of -> the Earth system.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH
85,"Fin-like limbs are long on whales, and wings are long on owls; both are animal limbs.",SRC-DEF-010,definition,Concept: acceleration; Broader category: motion quantity; Key property/function: change in velocity over time.,https://openstax.org/books/physics/pages/4-1-force,NO_MATCH,SRC-ANA-010,analogy,Flipper -> part of -> a whale; Wing -> part of -> an owl.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
86,"Permeable rocks allow groundwater to flow, and porous soil allows rainwater to infiltrate; both have permeability.",SRC-DEF-011,definition,Concept: well; Broader category: water-access structure; Key property/function: reaches groundwater for withdrawal.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,NO_MATCH,SRC-ANA-011,analogy,Permeable rock -> supports -> groundwater movement; Porous soil -> supports -> infiltration.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
87,"Chloroplasts are responsible for photosynthesis, and mesophyll is responsible for gas exchange; each performs its own function to support the leaf's function.",SRC-DEF-012,definition,Concept: cloud; Broader category: atmospheric water collection; Key property/function: contains condensed droplets or ice particles.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,NO_MATCH,SRC-ANA-012,analogy,Chloroplast -> supports -> photosynthesis; Mesophyll -> supports -> leaf gas exchange.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
88,"The gravitational pull of the moon mainly causes tidal bulges, while the gravitational pull of the sun enhances or weakens it.",SRC-DEF-013,definition,Concept: flipper; Broader category: animal body structure; Key property/function: helps a whale steer through water.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH,SRC-ANA-013,analogy,Moon gravity -> supports -> tidal bulges; Sun gravity -> supports -> additional tidal effects.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH
89,"When the net external force is zero, momentum is conserved, and an isolated system ensures the total momentum remains unchanged; the conditions are equivalent.",SRC-DEF-014,definition,Concept: baleen; Broader category: feeding structure; Key property/function: retains small prey while water passes.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH,SRC-ANA-014,analogy,Net external force zero -> supports -> momentum conservation; Isolated system -> supports -> constant total momentum.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
90,"Whale whiskers act like sieves to retain small prey, and filtration on the surface can also trap particles while allowing water to pass through.",SRC-DEF-015,definition,Concept: feather camouflage; Broader category: animal adaptation; Key property/function: blends an animal with its surroundings.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH,SRC-ANA-015,analogy,Whale baleen -> supports -> prey retention; Filter surface -> supports -> particle separation.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
91,"The aquifer contains groundwater, and clouds contain condensed water droplets; both are containers of water.",SRC-DEF-016,definition,Concept: satellite precipitation sensor; Broader category: remote-observation instrument; Key property/function: measures rainfall-related information from orbit.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,NO_MATCH,SRC-ANA-016,analogy,Aquifer -> contains -> groundwater; Cloud -> contains -> condensed water droplets.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
92,"Chloroplasts contain the machinery for photosynthesis, and leaves contain mesophyll cells; each has its own content.",SRC-DEF-017,definition,Concept: well pump; Broader category: water-moving device; Key property/function: lifts groundwater to the surface.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,NO_MATCH,SRC-ANA-017,analogy,Chloroplast -> contains -> photosynthetic machinery; Leaf -> contains -> mesophyll cells.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
93,"Tidal bulges occur in the ocean, and water vapor is floating in the atmosphere; both are fluid distributions on Earth.",SRC-DEF-018,definition,Concept: tide gauge; Broader category: environmental measuring instrument; Key property/function: records changes in water level.,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,NO_MATCH,SRC-ANA-018,analogy,Ocean -> contains -> tidal bulges; Atmosphere -> contains -> water vapor.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH
94,"Bone marrow produces the raw materials for immune cells, and lymphatic vessels are responsible for transporting them; together they serve the immune system.",SRC-DEF-019,definition,Concept: chlorophyll sensor; Broader category: light-sensitive measurement tool; Key property/function: detects or studies light absorption.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,NO_MATCH,SRC-ANA-019,analogy,Bone marrow -> produces -> immune blood-cell precursors; Lymphatic vessels -> carry -> immune cells.,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,STRONG_MATCH
95,"Rock pores can store groundwater, and reservoirs can store surface water; both can store water.",SRC-DEF-020,definition,Concept: filtration surface; Broader category: separation mechanism; Key property/function: lets water pass while retaining particles.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH,SRC-ANA-020,analogy,Groundwater pore space -> stores -> water; Reservoir -> stores -> collected surface water.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
96,"Evaporation transports surface water into the atmosphere, and transpiration transports water from the plant body into the atmosphere; the end result is the same.",SRC-DEF-021,definition,Concept: adaptation; Broader category: biological feature; Key property/function: helps an organism survive in an environment.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH,SRC-ANA-021,analogy,Evaporation -> moves water to atmosphere; Transpiration -> moves plant water to atmosphere.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH
97,"Force can change the motion state of an object, and heat can change the solid, liquid, and gaseous states of water.",SRC-DEF-022,definition,Concept: immune system; Broader category: body defense system; Key property/function: detects and helps eliminate harmful agents.,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,NO_MATCH,SRC-ANA-022,analogy,Force -> changes motion; Heat -> changes water state.,https://openstax.org/books/physics/pages/4-1-force,STRONG_MATCH
98,"Biological adaptation can enhance survival rates, tool design can improve operational efficiency, both are optimization methods.",SRC-DEF-023,definition,Concept: aquifer; Broader category: water-bearing geologic formation; Key property/function: stores and transmits usable groundwater.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,NO_MATCH,SRC-ANA-023,analogy,Adaptation -> improves survival; Tool design -> improves task performance.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,STRONG_MATCH
99,"The law of conservation of momentum limits the combination of velocities after a collision, and the law of conservation of energy limits the distribution of energy before and after conversion.",SRC-DEF-024,definition,Concept: precipitation; Broader category: water-cycle transfer; Key property/function: water falls from atmosphere to Earth’s surface.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,NO_MATCH,SRC-ANA-024,analogy,Momentum conservation -> constrains collision outcomes; Energy conservation -> constrains transformation outcomes.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
100,"The immune system forms a barrier for organisms to resist bacteria, physical barriers (such as fences) prevent foreign substances from entering, and the effects are the same.",SRC-DEF-025,definition,Concept: chloroplast; Broader category: plant-cell organelle; Key property/function: contains the machinery for photosynthesis.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,NO_MATCH,SRC-ANA-025,analogy,Immune barrier -> blocks harmful agents; Physical barrier -> blocks unwanted entry.,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,STRONG_MATCH
